,first_category,data_num,success_num,cover_rate,first_accurcy,B2B_accuracy
0,工业制造,108,82,75.926,70.732,98.78
1,能源材料,104,76,73.077,88.158,100.0
2,车辆,1,0,0.0,0.0,0.0
3,非B2B一级,2,1,50.0,0.0,0.0
4,total,215,159,73.953,78.616,98.742
