,first_category,data_num,success_num,cover_rate,first_accurcy
0,商务服务,465,465,100.0,75.054
1,培训,124,124,100.0,90.323
2,宠物,11,11,100.0,100.0
3,工业制造,73,73,100.0,86.301
4,房屋,32,32,100.0,100.0
5,招聘,24,24,100.0,83.333
6,生活服务,3878,3873,99.871,94.707
7,生活消费,1,1,100.0,100.0
8,能源材料,398,398,100.0,36.935
9,车辆,73,73,100.0,95.89
10,total,5079,5079,99.902,88.155
