,first_category,data_num,success_num,cover_rate,first_accurcy,B2B_accuracy
0,工业制造,107,106,99.065,67.925,99.057
1,能源材料,105,101,96.19,88.119,100.0
2,车辆,2,2,100.0,50.0,50.0
3,非B2B一级,1,1,100.0,0.0,0.0
4,total,215,210,97.674,77.143,98.571
