,first_category,data_num,success_num,cover_rate,first_accurcy,B2B_accuracy
0,工业制造,52,41,78.846,58.537,78.049
1,能源材料,38,33,86.842,54.545,66.667
2,total,90,90,82.222,56.757,72.973
