,category,data_num,success_num,cover_rate,accurcy,B2Baccurcy
0,仪器配件,15,12,80.0,75.0,83.333
1,冶金矿产,5,4,80.0,0.0,50.0
2,工业设备,31,23,74.194,4.348,65.217
3,建材家装,38,31,81.579,61.29,83.871
4,线缆照明,1,1,100.0,0.0,100.0
5,total,90,71,78.889,40.845,76.056
