,first_category,data_num,success_num,cover_rate,first_accurcy,B2B_accuracy
0,工业制造,52,5,9.615,120.0,80.0
1,能源材料,38,4,10.526,275.0,100.0
2,total,90,90,10.0,188.889,88.889
