,first_category,data_num,success_num,cover_rate,first_accurcy,B2B_accuracy
0,工业制造,107,81,75.701,71.605,76.636
1,能源材料,105,77,73.333,88.312,73.333
2,车辆,2,1,50.0,100.0,50.0
3,非B2B一级,1,0,0.0,0.0,0.0
4,total,215,159,73.953,79.874,74.419
