,category,data_num,success_num,cover_rate,accurcy,B2Baccurcy
0,五金配件,8,6,75.0,0.0,50.0
1,仪器仪表,6,5,83.333,60.0,100.0
2,冶金矿产,9,5,55.556,0.0,60.0
3,工业设备,42,26,61.905,3.846,65.385
4,建材家装,47,39,82.979,51.282,71.795
5,电子元器件,5,5,100.0,80.0,100.0
6,线缆照明,2,2,100.0,0.0,100.0
7,total,119,88,73.95,31.818,71.591
