,first_category,data_num,success_num,cover_rate,first_accurcy,B2B_accuracy
0,工业制造,52,5,9.615,120.0,80.0
1,能源材料,38,3,7.895,333.333,100.0
2,total,90,90,8.889,200.0,87.5
