,first_category,data_num,success_num,cover_rate,first_accurcy,B2B_accuracy
0,工业制造,107,81,75.701,71.605,101.235
1,能源材料,105,77,73.333,88.312,100.0
2,车辆,2,1,50.0,100.0,200.0
3,非B2B一级,1,0,0.0,0.0,0.0
4,total,215,159,73.953,79.874,101.887
