,first_category,data_num,success_num,cover_rate,first_accurcy,B2B_accuracy
0,工业制造,52,34,65.385,67.647,97.059
1,能源材料,38,30,78.947,90.0,100.0
2,total,90,64,71.111,78.125,98.438
