,first_category,data_num,success_num,cover_rate,first_accurcy,B2B_accuracy
0,工业制造,52,5,9.615,120.0,540.0
1,能源材料,38,4,10.526,275.0,425.0
2,total,90,9,10.0,188.889,488.889
